PAR_GROUP,PAR_NAME,PAR_TYPE,PAR_LENGTH,PAR_INIT,REG_MODE_NONE_ONLY,REG_FIELD_REG,REG_CURRENT_REG,REG_PAR_SIM_VS,REG_PAR_INVERT_LIMITS,REG_PAR_V_LIMITS_REF,REG_PAR_V_LIMITS_ERR,REG_PAR_I_LIMITS_MEAS,REG_PAR_I_LIMITS_REF,REG_PAR_I_LIMITS_ERR,REG_PAR_B_LIMITS_MEAS,REG_PAR_B_LIMITS_REF,REG_PAR_B_LIMITS_ERR,REG_PAR_I_LIMITS_RMS,REG_PAR_I_LIMITS_RMS_LOAD,REG_PAR_I_MEAS_REG_SELECT,REG_PAR_I_MEAS_FILTER,REG_PAR_B_MEAS_REG_SELECT,REG_PAR_B_MEAS_FILTER,REG_PAR_MEAS_SIM_DELAYS,REG_PAR_MEAS_SIM_NOISE_AND_TONE,REG_PAR_LOAD,REG_PAR_LOAD_SAT,REG_PAR_LOAD_SIM,REG_PAR_IREG_OP,REG_PAR_IREG_TEST,REG_PAR_BREG_OP,REG_PAR_BREG_TEST
LOAD,OHMS_SER,float,REG_N_LOADS,0.5,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,YES,YES,YES,YES
LOAD,OHMS_PAR,float,REG_N_LOADS,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,YES,YES,YES,YES
LOAD,OHMS_MAG,float,REG_N_LOADS,1,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,YES,YES,YES,YES
LOAD,HENRYS,float,REG_N_LOADS,1,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,YES,YES,YES,YES
LOAD,HENRYS_SAT,float,REG_N_LOADS,1,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO
LOAD,I_SAT_START,float,REG_N_LOADS,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO
LOAD,I_SAT_END,float,REG_N_LOADS,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO
LOAD,GAUSS_PER_AMP,float,REG_N_LOADS,1,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,YES,YES
LOAD,SIM_TC_ERROR,float,1,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO
LOAD,SELECT,uint32_t,1,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
